record_id,dataset_version,record_status,last_validated,Tourist ID,Age,Age_Group,current_site,Site Name,Sites Visited,city,country,Continent,region,Interests,Number_of_Interests,Accessibility,Preferred Tour Duration,Tour Duration,matched_destination,Type,Best Season,UNESCO Site,avg_cost_usd,Cost_Category,budget_level,Tourist Rating,Satisfaction,Avg Rating,Recommendation Accuracy,VR Experience Quality,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,overall_experience_score,yearly_avg_temp,climate_classification,Popularity_Category,Route ID,System Response Time
REC-00013-cbbc03fb-000028,v1.0,active,2026-01-31,13,45,36-45,Machu Picchu,Eiffel Tower,"['Machu Picchu', 'Eiffel Tower', 'Great Wall of China']",Cusco,Peru,,,"['Nature', 'Cultural', 'Architecture']",3,True,8,6,,,,,257.3476754381034,,,1.8,3,,100,4.5,,,,,,,,,,,,,,13000,3.47
REC-00013-6e5a907e-000029,v1.0,active,2026-01-31,13,45,36-45,Eiffel Tower,Eiffel Tower,"['Machu Picchu', 'Eiffel Tower', 'Great Wall of China']",Paris,France,,europe,"['Nature', 'Cultural', 'Architecture']",3,True,8,6,,,,,257.3476754381034,,Luxury,1.8,3,,100,4.5,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,13000,3.47
REC-00013-a40279d9-000030,v1.0,active,2026-01-31,13,45,36-45,Great Wall of China,Eiffel Tower,"['Machu Picchu', 'Eiffel Tower', 'Great Wall of China']",Beijing,China,,asia,"['Nature', 'Cultural', 'Architecture']",3,True,8,6,,,,,257.3476754381034,,Mid-range,1.8,3,,100,4.5,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,13000,3.47
REC-00014-6e5a907e-000031,v1.0,active,2026-01-31,14,61,55+,Eiffel Tower,Colosseum,['Eiffel Tower'],Paris,France,,europe,['Cultural'],1,True,8,1,,,,,198.06231817651337,,Luxury,4.3,4,,91,4.4,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,14000,3.48
REC-00015-3e801283-000032,v1.0,active,2026-01-31,15,60,55+,Taj Mahal,Eiffel Tower,"['Taj Mahal', 'Eiffel Tower']",Agra,India,,,"['Cultural', 'Architecture', 'Art']",3,True,4,6,,,,,248.50130831258937,,,2.9,3,,94,4.2,,,,,,,,,,,,,,15000,2.82
REC-00015-6e5a907e-000033,v1.0,active,2026-01-31,15,60,55+,Eiffel Tower,Eiffel Tower,"['Taj Mahal', 'Eiffel Tower']",Paris,France,,europe,"['Cultural', 'Architecture', 'Art']",3,True,4,6,,,,,248.50130831258937,,Luxury,2.9,3,,94,4.2,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,15000,2.82
REC-00016-a40279d9-000034,v1.0,active,2026-01-31,16,50,46-55,Great Wall of China,Eiffel Tower,"['Great Wall of China', 'Machu Picchu', 'Colosseum']",Beijing,China,,asia,['Cultural'],1,False,7,8,,,,,385.9744642474988,,Mid-range,1.2,3,,91,4.2,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,16000,4.44
REC-00016-cbbc03fb-000035,v1.0,active,2026-01-31,16,50,46-55,Machu Picchu,Eiffel Tower,"['Great Wall of China', 'Machu Picchu', 'Colosseum']",Cusco,Peru,,,['Cultural'],1,False,7,8,,,,,385.9744642474988,,,1.2,3,,91,4.2,,,,,,,,,,,,,,16000,4.44
REC-00016-baaadf4e-000036,v1.0,active,2026-01-31,16,50,46-55,Colosseum,Eiffel Tower,"['Great Wall of China', 'Machu Picchu', 'Colosseum']",Rome,Italy,,europe,['Cultural'],1,False,7,8,,,,,385.9744642474988,,Mid-range,1.2,3,,91,4.2,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.555555555555556,16.633333333333333,Temperate,,16000,4.44
REC-00017-a40279d9-000037,v1.0,active,2026-01-31,17,59,55+,Great Wall of China,Taj Mahal,"['Great Wall of China', 'Machu Picchu']",Beijing,China,,asia,['Cultural'],1,True,7,3,,,,,150.0,,Mid-range,2.1,3,,95,4.3,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,17000,2.12
REC-00017-cbbc03fb-000038,v1.0,active,2026-01-31,17,59,55+,Machu Picchu,Taj Mahal,"['Great Wall of China', 'Machu Picchu']",Cusco,Peru,,,['Cultural'],1,True,7,3,,,,,150.0,,,2.1,3,,95,4.3,,,,,,,,,,,,,,17000,2.12
REC-00018-6e5a907e-000039,v1.0,active,2026-01-31,18,18,18-25,Eiffel Tower,Machu Picchu,"['Eiffel Tower', 'Colosseum']",Paris,France,,europe,"['Nature', 'Cultural']",2,True,6,6,,,,,150.0,,Luxury,2.7,3,,100,4.4,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,18000,3.63
REC-00018-baaadf4e-000040,v1.0,active,2026-01-31,18,18,18-25,Colosseum,Machu Picchu,"['Eiffel Tower', 'Colosseum']",Rome,Italy,,europe,"['Nature', 'Cultural']",2,True,6,6,,,,,150.0,,Mid-range,2.7,3,,100,4.4,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.555555555555556,16.633333333333333,Temperate,,18000,3.63
REC-00019-baaadf4e-000041,v1.0,active,2026-01-31,19,24,18-25,Colosseum,Taj Mahal,"['Colosseum', 'Eiffel Tower', 'Taj Mahal']",Rome,Italy,,europe,['History'],1,False,5,6,,,,,150.0,,Mid-range,2.6,3,,86,4.7,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.555555555555556,16.633333333333333,Temperate,,19000,2.63
REC-00019-6e5a907e-000042,v1.0,active,2026-01-31,19,24,18-25,Eiffel Tower,Taj Mahal,"['Colosseum', 'Eiffel Tower', 'Taj Mahal']",Paris,France,,europe,['History'],1,False,5,6,,,,,150.0,,Luxury,2.6,3,,86,4.7,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,19000,2.63
REC-00019-3e801283-000043,v1.0,active,2026-01-31,19,24,18-25,Taj Mahal,Taj Mahal,"['Colosseum', 'Eiffel Tower', 'Taj Mahal']",Agra,India,,,['History'],1,False,5,6,,,,,150.0,,,2.6,3,,86,4.7,,,,,,,,,,,,,,19000,2.63
REC-00020-a40279d9-000044,v1.0,active,2026-01-31,20,63,55+,Great Wall of China,Colosseum,['Great Wall of China'],Beijing,China,,asia,"['Nature', 'Architecture']",2,False,8,2,,,,,112.51021177489562,,Mid-range,2.7,3,,92,4.8,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,20000,4.79
REC-00021-3e801283-000045,v1.0,active,2026-01-31,21,45,36-45,Taj Mahal,Machu Picchu,['Taj Mahal'],Agra,India,,,['Architecture'],1,True,6,2,,,,,150.0,,,2.8,3,,94,4.7,,,,,,,,,,,,,,21000,2.75
REC-00022-cbbc03fb-000046,v1.0,active,2026-01-31,22,62,55+,Machu Picchu,Colosseum,"['Machu Picchu', 'Eiffel Tower', 'Taj Mahal']",Cusco,Peru,,,"['Nature', 'History', 'Cultural']",3,True,7,5,,,,,139.56740254337166,,,3.3,3,,96,4.0,,,,,,,,,,,,,,22000,2.65
REC-00022-6e5a907e-000047,v1.0,active,2026-01-31,22,62,55+,Eiffel Tower,Colosseum,"['Machu Picchu', 'Eiffel Tower', 'Taj Mahal']",Paris,France,,europe,"['Nature', 'History', 'Cultural']",3,True,7,5,,,,,139.56740254337166,,Luxury,3.3,3,,96,4.0,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,22000,2.65
REC-00022-3e801283-000048,v1.0,active,2026-01-31,22,62,55+,Taj Mahal,Colosseum,"['Machu Picchu', 'Eiffel Tower', 'Taj Mahal']",Agra,India,,,"['Nature', 'History', 'Cultural']",3,True,7,5,,,,,139.56740254337166,,,3.3,3,,96,4.0,,,,,,,,,,,,,,22000,2.65
REC-00023-baaadf4e-000049,v1.0,active,2026-01-31,23,65,55+,Colosseum,Great Wall of China,['Colosseum'],Rome,Italy,,europe,"['Nature', 'Cultural']",2,True,8,3,,,,,154.27663713816287,,Mid-range,4.2,4,,88,5.0,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.555555555555556,16.633333333333333,Temperate,,23000,1.97
REC-00024-cbbc03fb-000050,v1.0,active,2026-01-31,24,53,46-55,Machu Picchu,Taj Mahal,"['Machu Picchu', 'Great Wall of China']",Cusco,Peru,,,['Cultural'],1,True,6,6,,,,,150.0,,,3.0,3,,97,4.4,,,,,,,,,,,,,,24000,4.02
REC-00024-a40279d9-000051,v1.0,active,2026-01-31,24,53,46-55,Great Wall of China,Taj Mahal,"['Machu Picchu', 'Great Wall of China']",Beijing,China,,asia,['Cultural'],1,True,6,6,,,,,150.0,,Mid-range,3.0,3,,97,4.4,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,24000,4.02
REC-00025-cbbc03fb-000052,v1.0,active,2026-01-31,25,26,26-35,Machu Picchu,Taj Mahal,"['Machu Picchu', 'Eiffel Tower']",Cusco,Peru,,,['Cultural'],1,True,8,3,,,,,150.0,,,2.4,3,,90,4.7,,,,,,,,,,,,,,25000,3.42
REC-00025-6e5a907e-000053,v1.0,active,2026-01-31,25,26,26-35,Eiffel Tower,Taj Mahal,"['Machu Picchu', 'Eiffel Tower']",Paris,France,,europe,['Cultural'],1,True,8,3,,,,,150.0,,Luxury,2.4,3,,90,4.7,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,25000,3.42
REC-00026-baaadf4e-000054,v1.0,active,2026-01-31,26,63,55+,Colosseum,Colosseum,"['Colosseum', 'Eiffel Tower', 'Great Wall of China']",Rome,Italy,,europe,"['Nature', 'Art']",2,False,3,6,,,,,128.5642016992203,,Mid-range,1.0,3,,93,4.3,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.555555555555556,16.633333333333333,Temperate,,26000,4.09
REC-00026-6e5a907e-000055,v1.0,active,2026-01-31,26,63,55+,Eiffel Tower,Colosseum,"['Colosseum', 'Eiffel Tower', 'Great Wall of China']",Paris,France,,europe,"['Nature', 'Art']",2,False,3,6,,,,,128.5642016992203,,Luxury,1.0,3,,93,4.3,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,26000,4.09
REC-00026-a40279d9-000056,v1.0,active,2026-01-31,26,63,55+,Great Wall of China,Colosseum,"['Colosseum', 'Eiffel Tower', 'Great Wall of China']",Beijing,China,,asia,"['Nature', 'Art']",2,False,3,6,,,,,128.5642016992203,,Mid-range,1.0,3,,93,4.3,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,26000,4.09
REC-00027-cbbc03fb-000057,v1.0,active,2026-01-31,27,24,18-25,Machu Picchu,Taj Mahal,"['Machu Picchu', 'Eiffel Tower']",Cusco,Peru,,,"['Nature', 'Art', 'Cultural']",3,True,3,4,,,,,150.0,,,2.0,3,,87,4.5,,,,,,,,,,,,,,27000,4.62
REC-00027-6e5a907e-000058,v1.0,active,2026-01-31,27,24,18-25,Eiffel Tower,Taj Mahal,"['Machu Picchu', 'Eiffel Tower']",Paris,France,,europe,"['Nature', 'Art', 'Cultural']",3,True,3,4,,,,,150.0,,Luxury,2.0,3,,87,4.5,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,27000,4.62
REC-00028-baaadf4e-000059,v1.0,active,2026-01-31,28,20,18-25,Colosseum,Eiffel Tower,"['Colosseum', 'Eiffel Tower', 'Great Wall of China']",Rome,Italy,,europe,['History'],1,False,5,4,,,,,357.27345406274003,,Mid-range,2.2,3,,95,4.5,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.555555555555556,16.633333333333333,Temperate,,28000,1.61
REC-00028-6e5a907e-000060,v1.0,active,2026-01-31,28,20,18-25,Eiffel Tower,Eiffel Tower,"['Colosseum', 'Eiffel Tower', 'Great Wall of China']",Paris,France,,europe,['History'],1,False,5,4,,,,,357.27345406274003,,Luxury,2.2,3,,95,4.5,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,28000,1.61
REC-00028-a40279d9-000061,v1.0,active,2026-01-31,28,20,18-25,Great Wall of China,Eiffel Tower,"['Colosseum', 'Eiffel Tower', 'Great Wall of China']",Beijing,China,,asia,['History'],1,False,5,4,,,,,357.27345406274003,,Mid-range,2.2,3,,95,4.5,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,28000,1.61
REC-00029-3e801283-000062,v1.0,active,2026-01-31,29,36,36-45,Taj Mahal,Great Wall of China,"['Taj Mahal', 'Great Wall of China', 'Eiffel Tower']",Agra,India,,,['Nature'],1,True,7,8,,,,,151.77072159391076,,,4.1,4,,91,4.6,,,,,,,,,,,,,,29000,4.57
REC-00029-a40279d9-000063,v1.0,active,2026-01-31,29,36,36-45,Great Wall of China,Great Wall of China,"['Taj Mahal', 'Great Wall of China', 'Eiffel Tower']",Beijing,China,,asia,['Nature'],1,True,7,8,,,,,151.77072159391076,,Mid-range,4.1,4,,91,4.6,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,29000,4.57
REC-00029-6e5a907e-000064,v1.0,active,2026-01-31,29,36,36-45,Eiffel Tower,Great Wall of China,"['Taj Mahal', 'Great Wall of China', 'Eiffel Tower']",Paris,France,,europe,['Nature'],1,True,7,8,,,,,151.77072159391076,,Luxury,4.1,4,,91,4.6,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,29000,4.57
REC-00030-3e801283-000065,v1.0,active,2026-01-31,30,49,46-55,Taj Mahal,Eiffel Tower,"['Taj Mahal', 'Great Wall of China']",Agra,India,,,"['Nature', 'History', 'Architecture']",3,True,6,2,,,,,238.5402067073012,,,4.4,4,,95,4.9,,,,,,,,,,,,,,30000,2.18
REC-00030-a40279d9-000066,v1.0,active,2026-01-31,30,49,46-55,Great Wall of China,Eiffel Tower,"['Taj Mahal', 'Great Wall of China']",Beijing,China,,asia,"['Nature', 'History', 'Architecture']",3,True,6,2,,,,,238.5402067073012,,Mid-range,4.4,4,,95,4.9,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,30000,2.18
REC-00031-3e801283-000067,v1.0,active,2026-01-31,31,61,55+,Taj Mahal,Taj Mahal,"['Taj Mahal', 'Great Wall of China', 'Eiffel Tower']",Agra,India,,,"['Art', 'Nature']",2,False,7,4,,,,,150.0,,,4.8,5,,95,4.7,,,,,,,,,,,,,,31000,4.94
REC-00031-a40279d9-000068,v1.0,active,2026-01-31,31,61,55+,Great Wall of China,Taj Mahal,"['Taj Mahal', 'Great Wall of China', 'Eiffel Tower']",Beijing,China,,asia,"['Art', 'Nature']",2,False,7,4,,,,,150.0,,Mid-range,4.8,5,,95,4.7,5.0,3.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,3.4444444444444446,13.475,Temperate,,31000,4.94
REC-00031-6e5a907e-000069,v1.0,active,2026-01-31,31,61,55+,Eiffel Tower,Taj Mahal,"['Taj Mahal', 'Great Wall of China', 'Eiffel Tower']",Paris,France,,europe,"['Art', 'Nature']",2,False,7,4,,,,,150.0,,Luxury,4.8,5,,95,4.7,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,31000,4.94
REC-00032-3e801283-000070,v1.0,active,2026-01-31,32,54,46-55,Taj Mahal,Great Wall of China,['Taj Mahal'],Agra,India,,,['Art'],1,False,6,2,,,,,146.91651910600183,,,1.9,3,,94,4.3,,,,,,,,,,,,,,32000,2.18
REC-00033-6e5a907e-000071,v1.0,active,2026-01-31,33,29,26-35,Eiffel Tower,Eiffel Tower,"['Eiffel Tower', 'Taj Mahal']",Paris,France,,europe,"['Nature', 'Architecture']",2,True,8,4,,,,,236.3550747010527,,Luxury,1.4,3,,87,4.1,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,2.0,3.555555555555556,13.266666666666666,Temperate,,33000,2.36
