Tourist ID,Age,Age_Group,Site Name,Sites Visited,city,country,Continent,state,region,Interests,Number_of_Interests,Accessibility,Preferred Tour Duration,Tour Duration,matched_destination,Type,Best Season,UNESCO Site,avg_cost_usd,Cost_Category,budget_level,Tourist Rating,Satisfaction,Avg Rating,Recommendation Accuracy,VR Experience Quality,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,overall_experience_score,yearly_avg_temp,climate_classification
5,53,46-55,Pantheon,Pantheon,Rome,Italy,Europe,Lazio,Southern Europe,"['Architecture', 'Art']",2,True,5,7,,Cultural,Winter,False,169.47434224213333,,Mid-range,3.7,4,3.780923303383892,96,4.8,5.0,2.0,3.0,2.55288509253475,4.529611499444725,3.7913403008590194,3.681772792445429,4.045316840781126,2.24605965313618,5.0,15.5,Temperate
5,53,46-55,Vatican City,Vatican City,Rome,Italy,Europe,Lazio,Southern Europe,"['Architecture', 'Art']",2,True,5,7,,Cultural,Winter,False,207.4956434719989,,Mid-range,3.7,4,3.696873989417733,96,4.8,5.0,2.0,3.0,2.9097702610812584,2.3191460345302857,3.5581857415553357,2.323013237633947,3.959929429245979,2.0840126840041817,5.0,15.5,Temperate
6,50,46-55,Distillery District,Distillery District,Toronto,Canada,North America,Ontario,Eastern Canada,"['Architecture', 'History', 'Cultural']",3,False,4,4,,Cultural,Winter,False,175.9089572452722,,Mid-range,2.2,3,3.719368885161413,99,4.5,4.4,3.0,3.8,2.1665922797790405,2.4772477752916395,3.001958390887876,3.896617306344791,4.832110640303928,1.6773644494071922,4.4,8.5,Cold
6,50,46-55,Royal Ontario Museum,Royal Ontario Museum,Toronto,Canada,North America,Ontario,Eastern Canada,"['Architecture', 'History', 'Cultural']",3,False,4,4,,Cultural,Winter,False,194.0849771421711,,Mid-range,2.2,3,4.258703786044404,99,4.5,4.4,3.0,3.8,4.277223253092243,2.43930447629035,3.525602461705106,4.960047654351644,4.314226298129544,1.6404033871206676,4.4,8.5,Cold
6,50,46-55,Machu Picchu,Machu Picchu,Cusco,Peru,South America,Cusco,Andean Region,"['Architecture', 'History', 'Cultural']",3,False,4,4,,Cultural,Autumn,False,74.48937948427967,,Budget,2.2,3,4.948087053256071,99,4.5,5.0,4.8,4.5,4.808775524598546,3.914901489745802,3.2382259177253503,3.283498330097665,4.2381066570399,2.561147827656096,5.0,11.5,Temperate
6,50,46-55,Sacred Valley,Sacred Valley,Cusco,Peru,South America,Cusco,Andean Region,"['Architecture', 'History', 'Cultural']",3,False,4,4,,Cultural,Winter,False,98.22431834872503,,Budget,2.2,3,4.726430913182654,99,4.5,5.0,4.8,4.5,1.0513564798586978,3.835203345097359,4.276159726223419,2.286744089641406,4.994143733873425,2.776836386557015,5.0,11.5,Temperate
7,61,55+,Cenotes,Cenotes,Cancun,Mexico,North America,Quintana Roo,Central America,"['Architecture', 'History']",2,False,7,6,,Cultural,Spring,False,199.6185099051026,,Mid-range,4.1,4,4.050666880251429,93,4.5,3.5,4.5,4.8,4.150495739922167,4.1802626884572485,3.4221952609607427,4.642569185209291,4.9770265357036365,2.2282865379463086,3.5,26.5,Warm
7,61,55+,Isla Mujeres,Isla Mujeres,Cancun,Mexico,North America,Quintana Roo,Central America,"['Architecture', 'History']",2,False,7,6,,Cultural,Autumn,False,184.93822884142105,,Mid-range,4.1,4,4.015488405514306,93,4.5,3.5,4.5,4.8,2.1144211985617822,2.6312015132772406,3.634757088001648,3.50912613499284,4.614233485663067,1.2174374056557395,3.5,26.5,Warm
7,61,55+,Summer Palace,Summer Palace,Beijing,China,Asia,Beijing Municipality,East Asia,"['Architecture', 'History']",2,False,7,6,,Cultural,Spring,False,140.16034541994406,,Mid-range,4.1,4,3.540592230813094,93,4.5,4.9,3.5,3.0,1.1791465072386518,2.777704163127758,4.90926198179727,3.151945348537914,3.718448601975528,2.2292125884032385,4.9,12.5,Temperate
7,61,55+,Tiananmen Square,Tiananmen Square,Beijing,China,Asia,Beijing Municipality,East Asia,"['Architecture', 'History']",2,False,7,6,,Cultural,Autumn,False,148.09265102641632,,Mid-range,4.1,4,3.6202168944432898,93,4.5,4.9,3.5,3.0,1.2893259855081889,3.884036558389512,3.4720333349533634,2.9753540471430253,3.1531281252222687,1.3439636538650106,4.9,12.5,Temperate
8,23,18-25,Golden Gate Bridge,Golden Gate Bridge,San Francisco,United States,North America,California,West Coast USA,"['Cultural', 'Architecture']",2,False,5,2,,Cultural,Winter,False,292.2371255719217,,Luxury,2.8,3,3.604280304550758,91,4.9,4.5,3.8,4.0,3.435188106097564,4.019367069199893,3.164572546390266,4.771267421586648,3.393527841189286,1.0296406558263484,4.5,14.0,Temperate
8,23,18-25,Alcatraz Island,Alcatraz Island,San Francisco,United States,North America,California,West Coast USA,"['Cultural', 'Architecture']",2,False,5,2,,Cultural,Summer,False,286.35978519791416,,Luxury,2.8,3,4.503417477248884,91,4.9,4.5,3.8,4.0,1.6818432474872504,2.8716752665173155,3.0847632790124173,2.8040105116099827,3.1105519148459244,1.977475096768438,4.5,14.0,Temperate
9,34,26-35,Copacabana Beach,Copacabana Beach,Rio de Janeiro,Brazil,South America,Rio de Janeiro,Southeast Brazil,"['Cultural', 'Art']",2,True,5,6,,Cultural,Autumn,False,147.26029403811424,,Mid-range,4.0,4,3.563209523917566,95,4.4,4.5,4.0,4.5,3.480031071150896,2.0431529420326155,4.305255381858138,2.7211137920526385,3.280437911830904,1.2326437125988103,4.5,23.5,Warm
9,34,26-35,Getty Center,Getty Center,Los Angeles,United States,North America,California,West Coast USA,"['Cultural', 'Art']",2,True,5,6,,Cultural,Spring,False,252.4259582780466,,Luxury,4.0,4,3.673456379659311,95,4.4,4.3,3.5,3.8,3.864457804658006,3.10666395285752,4.309721793276591,3.169181194754917,4.884766660996828,2.237489126811364,4.3,18.0,Warm
10,61,55+,Merlion,Merlion,Singapore,Singapore,Asia,Singapore,Southeast Asia,"['Nature', 'Architecture']",2,False,5,6,,Cultural,Winter,True,213.7384539757236,,Luxury,3.8,4,4.002342267319817,95,4.7,4.3,3.2,4.0,2.244686927801393,3.666118845266281,4.717372360984303,3.989533816725064,4.945131205276425,2.5730708331940755,4.3,27.5,Warm
10,61,55+,British Museum,British Museum,London,United Kingdom,Europe,England,Western Europe,"['Nature', 'Architecture']",2,False,5,6,,Cultural,Winter,True,258.17758366427915,,Luxury,3.8,4,4.506535747564721,95,4.7,4.9,2.5,3.0,4.784346678987589,4.636987783931271,3.658706250180384,3.855860500976048,4.7301831950497695,2.998069861192643,4.9,11.0,Temperate
11,27,26-35,Getty Center,Getty Center,Los Angeles,United States,North America,California,West Coast USA,"['Nature', 'Architecture']",2,False,4,6,,Cultural,Spring,False,249.83081166012684,,Luxury,3.2,3,4.570101057357882,99,4.2,4.3,3.5,3.8,1.803531605599022,3.226865695647737,4.5060809965778885,4.235495692258345,4.467824735736761,3.86930562896428,4.3,18.0,Warm
11,27,26-35,Santa Monica Pier,Santa Monica Pier,Los Angeles,United States,North America,California,West Coast USA,"['Nature', 'Architecture']",2,False,4,6,,Cultural,Spring,True,299.9308037066816,,Luxury,3.2,3,4.137989329677996,99,4.2,4.3,3.5,3.8,4.241264581762781,4.104494117268597,4.108417268807033,3.23494631399984,4.9916959495348605,1.6503540398341423,4.3,18.0,Warm
11,27,26-35,Tomb of Itimad-ud-Daulah,Tomb of Itimad-ud-Daulah,Agra,India,Asia,Uttar Pradesh,South Asia,"['Nature', 'Architecture']",2,False,4,6,,Cultural,Spring,False,75.99657326109694,,Budget,3.2,3,4.449199792868713,99,4.2,5.0,2.5,2.5,2.456793243680574,2.63489095663694,3.2190270909519096,3.737152068848751,3.565184893762382,1.858629872708537,5.0,25.0,Warm
11,27,26-35,Agra Fort,Agra Fort,Agra,India,Asia,Uttar Pradesh,South Asia,"['Nature', 'Architecture']",2,False,4,6,,Cultural,Summer,True,94.27136475410136,,Budget,3.2,3,3.723726773622572,99,4.2,5.0,2.5,2.5,1.45546348145339,3.8398944684022287,4.852961385212988,2.393030627501105,3.766261856233651,2.8853383036116123,5.0,25.0,Warm
11,27,26-35,Buckingham Palace,Buckingham Palace,London,United Kingdom,Europe,England,Western Europe,"['Nature', 'Architecture']",2,False,4,6,,Cultural,Winter,True,274.3768335813801,,Luxury,3.2,3,3.510800788950104,99,4.2,4.9,2.5,3.0,2.6576858678714683,2.4603935978101514,3.991640889212477,2.731787681018742,4.510763808792921,1.980730434968161,4.9,11.0,Temperate
11,27,26-35,Tower of London,Tower of London,London,United Kingdom,Europe,England,Western Europe,"['Nature', 'Architecture']",2,False,4,6,,Cultural,Autumn,False,275.57357272799703,,Luxury,3.2,3,3.8847634731010654,99,4.2,4.9,2.5,3.0,4.36396682041529,4.398312451106519,4.20561438063454,4.217438252285367,4.189569957327816,3.040362167746123,4.9,11.0,Temperate
12,37,36-45,Khao San Road,Khao San Road,Bangkok,Thailand,Asia,Bangkok,Southeast Asia,['Cultural'],1,True,3,5,,Cultural,Spring,False,97.09107837485664,,Budget,1.7,3,4.787018338043777,100,4.6,4.5,3.8,3.0,3.1888372538819327,4.569779244200907,4.878019564648255,3.634115478122767,4.233910777651129,2.65393647716499,4.5,28.5,Warm
13,45,36-45,Empire State Building,Empire State Building,New York,United States,North America,New York,Northeast USA,"['Nature', 'Cultural', 'Architecture']",3,True,8,6,,Cultural,Winter,False,301.66236612719524,,Luxury,1.8,3,3.734777103498208,100,4.5,4.8,3.5,3.0,1.6583037850321969,2.419930597100007,4.191784130765035,2.572918476643636,4.819530581763594,3.828022996743769,4.8,12.5,Temperate
13,45,36-45,Times Square,Times Square,New York,United States,North America,New York,Northeast USA,"['Nature', 'Cultural', 'Architecture']",3,True,8,6,,Cultural,Autumn,True,324.8423027048144,,Luxury,1.8,3,3.836408146999111,100,4.5,4.8,3.5,3.0,3.2455484942818047,4.762699919153038,4.303754376518322,3.793957367628332,3.0031593283017983,1.0076336568945403,4.8,12.5,Temperate
13,45,36-45,Topkapi Palace,Topkapi Palace,Istanbul,Turkey,Asia,Istanbul,Middle East,"['Nature', 'Cultural', 'Architecture']",3,True,8,6,,Cultural,Autumn,True,96.08347824133024,,Budget,1.8,3,3.7669160029293054,100,4.5,4.8,3.0,3.0,1.6739026495945963,3.750222291489866,3.1177097175746256,2.792396673964375,3.808842420671052,1.7403407754250928,4.8,14.5,Temperate
13,45,36-45,Grand Bazaar,Grand Bazaar,Istanbul,Turkey,Asia,Istanbul,Middle East,"['Nature', 'Cultural', 'Architecture']",3,True,8,6,,Cultural,Summer,False,89.31181629286742,,Budget,1.8,3,3.714954465486708,100,4.5,4.8,3.0,3.0,3.4850435882351065,3.20634561779307,4.5895301236685455,4.818596403728279,3.607243334656745,1.474774624903565,4.8,14.5,Temperate
13,45,36-45,Copacabana Beach,Copacabana Beach,Rio de Janeiro,Brazil,South America,Rio de Janeiro,Southeast Brazil,"['Nature', 'Cultural', 'Architecture']",3,True,8,6,,Cultural,Summer,True,163.56552330319096,,Mid-range,1.8,3,4.029005664909331,100,4.5,4.5,4.0,4.5,4.25633730749612,3.692355673323442,4.063059322067958,2.5243468893311296,4.72994717496633,1.3725561733473253,4.5,23.5,Warm
13,45,36-45,Sugarloaf Mountain,Sugarloaf Mountain,Rio de Janeiro,Brazil,South America,Rio de Janeiro,Southeast Brazil,"['Nature', 'Cultural', 'Architecture']",3,True,8,6,,Cultural,Summer,True,155.04643677520983,,Mid-range,1.8,3,4.7281786520405245,100,4.5,4.5,4.0,4.5,4.728930151175259,3.340815894067115,4.300795869608485,3.3239520638042506,4.424381587552915,3.232072607548836,4.5,23.5,Warm
14,61,55+,Agra Fort,Agra Fort,Agra,India,Asia,Uttar Pradesh,South Asia,['Cultural'],1,True,8,1,,Cultural,Winter,False,97.4298974767796,,Budget,4.3,4,4.438869147195022,91,4.4,5.0,2.5,2.5,4.183118380296349,3.0952788819518675,3.3963659787947758,3.796358755233381,4.79693410534245,3.0331948504645383,5.0,25.0,Warm
14,61,55+,Forbidden City,Forbidden City,Beijing,China,Asia,Beijing Municipality,East Asia,['Cultural'],1,True,8,1,,Cultural,Summer,True,173.5365978149561,,Mid-range,4.3,4,4.5819525478768695,91,4.4,4.9,3.5,3.0,2.098337791612689,2.869994088944674,4.482548725001375,2.7560190041333907,3.051137829557796,2.101959502145375,4.9,12.5,Temperate
14,61,55+,Monserrate,Monserrate,Bogota,Colombia,South America,Cundinamarca,Andean Region,['Cultural'],1,True,8,1,,Cultural,Autumn,False,75.12778979511536,,Budget,4.3,4,4.970701272541943,91,4.4,4.3,3.8,3.5,3.111956923505821,2.8998303644924848,4.675243976465584,4.646070617776048,4.866516245447582,2.887441454630955,4.3,14.0,Temperate
14,61,55+,Botero Museum,Botero Museum,Bogota,Colombia,South America,Cundinamarca,Andean Region,['Cultural'],1,True,8,1,,Cultural,Winter,False,114.33222065646282,,Budget,4.3,4,4.773931700661926,91,4.4,4.3,3.8,3.5,2.842151919824165,4.6646345778641845,4.938451845299676,2.1206437016862463,4.059737585739072,2.420441483340204,4.3,14.0,Temperate
15,60,55+,Frida Kahlo Museum,Frida Kahlo Museum,Mexico City,Mexico,North America,Mexico City,Central America,"['Cultural', 'Architecture', 'Art']",3,True,4,6,,Cultural,Summer,True,79.78977426416698,,Budget,2.9,3,3.88487836695301,94,4.2,4.6,3.5,3.0,1.232564811359898,4.667191688958258,4.07844817412731,4.812650493330031,4.061723479744232,2.308514979909832,4.6,16.0,Temperate
15,60,55+,Chapultepec Castle,Chapultepec Castle,Mexico City,Mexico,North America,Mexico City,Central America,"['Cultural', 'Architecture', 'Art']",3,True,4,6,,Cultural,Summer,True,66.72598383015601,,Budget,2.9,3,4.278162759131631,94,4.2,4.6,3.5,3.0,4.67269971833508,2.151645673071554,3.693022350968764,2.743813471465968,4.116246143490439,2.352294651565977,4.6,16.0,Temperate
15,60,55+,La Candelaria,La Candelaria,Bogota,Colombia,South America,Cundinamarca,Andean Region,"['Cultural', 'Architecture', 'Art']",3,True,4,6,,Cultural,Spring,False,69.65813553054944,,Budget,2.9,3,4.560784617403565,94,4.2,4.3,3.8,3.5,1.0475526014326095,2.1957564387726904,4.673652849212737,4.650937507911316,4.768606026026774,3.3005052506087504,4.3,14.0,Temperate
15,60,55+,Botero Museum,Botero Museum,Bogota,Colombia,South America,Cundinamarca,Andean Region,"['Cultural', 'Architecture', 'Art']",3,True,4,6,,Cultural,Autumn,False,106.19511545330228,,Budget,2.9,3,3.745813410758253,94,4.2,4.3,3.8,3.5,2.6192331893232184,4.862526883505272,3.662410495020433,3.4577392473979405,4.355972128804301,3.650411869638454,4.3,14.0,Temperate
15,60,55+,Temple of Olympian Zeus,Temple of Olympian Zeus,Athens,Greece,Europe,Attica,Southern Europe,"['Cultural', 'Architecture', 'Art']",3,True,4,6,,Cultural,Winter,True,92.4528094545156,,Budget,2.9,3,3.799784556681159,94,4.2,5.0,2.8,3.2,4.9817951662481175,4.01965503484935,4.707445811591996,2.206439444848165,4.733847682165797,1.8443951784478712,5.0,18.5,Warm
15,60,55+,Acropolis,Acropolis,Athens,Greece,Europe,Attica,Southern Europe,"['Cultural', 'Architecture', 'Art']",3,True,4,6,,Cultural,Autumn,False,84.04372917628719,,Budget,2.9,3,4.233749979598713,94,4.2,5.0,2.8,3.2,4.207445699585096,4.938915510549532,3.614383104860126,3.519380497097193,3.296339183344167,3.052383468904431,5.0,18.5,Warm
16,50,46-55,Gardens by the Bay,Gardens by the Bay,Singapore,Singapore,Asia,Singapore,Southeast Asia,['Cultural'],1,False,7,8,,Cultural,Spring,False,257.0443616220932,,Luxury,1.2,3,4.947512293156525,91,4.2,4.3,3.2,4.0,4.467374024601365,4.124376217862324,4.727183700096075,2.974741036530085,4.500426810711664,2.56580638550328,4.3,27.5,Warm
17,59,55+,Jemaa el-Fnaa,Jemaa el-Fnaa,Marrakech,Morocco,Africa,Marrakech-Safi,North Africa,['Cultural'],1,True,7,3,,Cultural,Summer,True,113.72980488779378,,Budget,2.1,3,4.8886233142794016,95,4.3,4.7,3.8,3.0,2.6431820167850293,2.449421608163319,3.75026541265,4.626034293643421,3.688560946722721,1.8549894003084049,4.7,19.5,Warm
17,59,55+,Auckland War Memorial Museum,Auckland War Memorial Museum,Auckland,New Zealand,Oceania,Auckland,North Island,['Cultural'],1,True,7,3,,Cultural,Summer,True,232.9373355266592,,Mid-range,2.1,3,3.587734482870629,95,4.3,4.0,4.5,4.8,2.715751898776337,3.5704573890939084,4.997583776344444,2.7322294575005546,3.907696374194858,3.403040677790594,4.0,15.0,Temperate
17,59,55+,Hobbiton,Hobbiton,Auckland,New Zealand,Oceania,Auckland,North Island,['Cultural'],1,True,7,3,,Cultural,Spring,True,190.4216299967545,,Mid-range,2.1,3,4.849999938491275,95,4.3,4.0,4.5,4.8,2.552935378317704,2.897616258443715,4.488616584879746,4.965232258699999,3.869886078731217,3.2625732917548613,4.0,15.0,Temperate
17,59,55+,Sydney Opera House,Sydney Opera House,Sydney,Australia,Oceania,New South Wales,Southeast Australia,['Cultural'],1,True,7,3,,Cultural,Autumn,True,265.67183101788186,,Luxury,2.1,3,4.728422067670208,95,4.3,4.4,4.0,4.5,2.533715390380012,4.198567146569781,3.112151695012682,4.54483142297859,3.1516893179331484,3.4405182607554186,4.4,17.5,Temperate
17,59,55+,Darling Harbour,Darling Harbour,Sydney,Australia,Oceania,New South Wales,Southeast Australia,['Cultural'],1,True,7,3,,Cultural,Summer,True,267.5091261963498,,Luxury,2.1,3,4.8924784952485485,95,4.3,4.4,4.0,4.5,3.6715223398214447,4.721152263532374,4.9185387860022285,4.591040406499551,4.564056912627286,3.1439821474384666,4.4,17.5,Temperate
18,18,18-25,Parthenon,Parthenon,Athens,Greece,Europe,Attica,Southern Europe,"['Nature', 'Cultural']",2,True,6,6,,Cultural,Autumn,False,108.73840886315688,,Budget,2.7,3,4.315343718384915,100,4.4,5.0,2.8,3.2,1.3323214167081343,2.21910976459118,4.663545202379282,2.66617893694072,3.323494110714296,2.6583936778350505,5.0,18.5,Warm
19,24,18-25,Blue Mosque,Blue Mosque,Istanbul,Turkey,Asia,Istanbul,Middle East,['History'],1,False,5,6,,Cultural,Autumn,True,74.20062151475258,,Budget,2.6,3,3.553961600860496,86,4.7,4.8,3.0,3.0,2.5611360427191183,2.690109049543477,3.20249075043362,3.093729161270414,3.86424381204754,2.0699417353704006,4.8,14.5,Temperate
19,24,18-25,Auckland War Memorial Museum,Auckland War Memorial Museum,Auckland,New Zealand,Oceania,Auckland,North Island,['History'],1,False,5,6,,Cultural,Autumn,False,191.5492880252997,,Mid-range,2.6,3,3.512668130974632,86,4.7,4.0,4.5,4.8,2.636488610454857,3.5263208751388504,3.118885007121953,2.9216073945614798,3.546518484262844,3.585967613815831,4.0,15.0,Temperate
19,24,18-25,Waiheke Island,Waiheke Island,Auckland,New Zealand,Oceania,Auckland,North Island,['History'],1,False,5,6,,Cultural,Autumn,True,234.29602262988664,,Mid-range,2.6,3,4.318096000334235,86,4.7,4.0,4.5,4.8,2.962468516936572,2.574944018079086,3.3391264243964964,2.4751512073542625,3.797872325603677,2.229563341425586,4.0,15.0,Temperate
19,24,18-25,Casa Batlló,Casa Batlló,Barcelona,Spain,Europe,Catalonia,Southern Europe,['History'],1,False,5,6,,Cultural,Winter,False,190.7181196415293,,Mid-range,2.6,3,4.770511889026262,86,4.7,4.8,3.0,3.5,1.811880018960398,2.092067858283537,3.3199598329799453,3.3160623800494013,3.842916808152568,2.322356150932124,4.8,16.0,Temperate
19,24,18-25,Sagrada Familia,Sagrada Familia,Barcelona,Spain,Europe,Catalonia,Southern Europe,['History'],1,False,5,6,,Cultural,Summer,False,181.0590587459307,,Mid-range,2.6,3,4.094156675720466,86,4.7,4.8,3.0,3.5,1.5861582161124193,3.154876910178176,4.992605033420869,2.902463103894979,4.254768879670536,3.69204646048639,4.8,16.0,Temperate
20,63,55+,Ipanema Beach,Ipanema Beach,Rio de Janeiro,Brazil,South America,Rio de Janeiro,Southeast Brazil,"['Nature', 'Architecture']",2,False,8,2,,Cultural,Autumn,False,126.59528456717536,,Mid-range,2.7,3,4.862046466464909,92,4.8,4.5,4.0,4.5,1.6498500623116592,3.5970260007045924,4.68291700868785,3.045139860939977,4.545142204848878,2.5915417382203856,4.5,23.5,Warm
20,63,55+,Belvedere Palace,Belvedere Palace,Vienna,Austria,Europe,Vienna,Central Europe,"['Nature', 'Architecture']",2,False,8,2,,Cultural,Autumn,False,151.83431037239893,,Mid-range,2.7,3,4.517247279013204,92,4.8,4.9,2.3,3.5,2.8370134092731587,4.804075179730948,4.915352596093885,2.862674059659457,3.49063056833326,1.9059795931519148,4.9,10.5,Temperate
20,63,55+,Hofburg Palace,Hofburg Palace,Vienna,Austria,Europe,Vienna,Central Europe,"['Nature', 'Architecture']",2,False,8,2,,Cultural,Autumn,False,161.6067861822187,,Mid-range,2.7,3,3.5172775941861065,92,4.8,4.9,2.3,3.5,3.9354918260204728,3.944920428680319,3.023333721850659,3.215910761486472,4.595810899702287,2.4929046023743107,4.9,10.5,Temperate
